Name,Interest,Cost,Best_Time,Plan
Manali,Adventure,18000,Dec-Mar,"Trekking, River Rafting, Mall Road, Cafes"
Rishikesh,Adventure,15000,Oct-Apr,"Rafting, Camping, Yoga, Ganga Aarti"
Goa,Beach,17000,Nov-Feb,"Beaches, Water Sports, Nightlife, Seafood"
Jaipur,Culture,12000,Nov-Feb,"Amber Fort, City Palace, Hawa Mahal, Local Markets"
Hyderabad,Food,10000,Oct-Mar,"Biryani Tour, Street Food, Charminar, Chowmahalla Palace"
Agra,Culture,12000,Oct-Mar,"Taj Mahal, Agra Fort, Fatehpur Sikri, Local Market"
Udaipur,Culture,15000,Oct-Mar,"City Palace, Lake Pichola, Jagdish Temple, Boat Ride"
Jaisalmer,Adventure,14000,Oct-Mar,"Fort Visit, Desert Safari, Camel Ride, Sand Dunes"
Kolkata,Culture,12000,Oct-Mar,"Victoria Memorial, Howrah Bridge, Indian Museum, Street Food"
Mysore,Culture,10000,Oct-Mar,"Mysore Palace, Chamundi Hill, Brindavan Gardens, Zoo"
Kerala,Beach,20000,Oct-Mar,"Backwaters, Houseboat, Beaches, Ayurvedic Spa"
Shimla,Adventure,16000,Apr-Jun,"Mall Road, Ridge, Kufri, Toy Train"
Darjeeling,Adventure,15000,Mar-May,"Tea Gardens, Tiger Hill, Toy Train, Monastery"
Amritsar,Culture,10000,Oct-Mar,"Golden Temple, Jallianwala Bagh, Wagah Border, Local Market"
Varanasi,Culture,12000,Oct-Mar,"Ganga Aarti, Kashi Vishwanath, Sarnath, Boat Ride"
Coorg,Adventure,18000,Oct-Mar,"Coffee Plantations, Abbey Falls, Trekking, River Rafting"
Hampi,Culture,14000,Oct-Mar,"Vijaya Vittala Temple, Hampi Bazaar, Stone Chariot, Matanga Hill"
Ranthambore,Adventure,20000,Oct-Mar,"Tiger Safari, Ranthambore Fort, Wildlife Photography, Nature Walks"
Leh-Ladakh,Adventure,25000,Jun-Sep,"Pangong Lake, Nubra Valley, Monasteries, Bike Trip"
Andaman,Beach,30000,Nov-Apr,"Radhanagar Beach, Scuba Diving, Cellular Jail, Water Sports"
Ooty,Adventure,16000,Apr-Jun,"Botanical Garden, Ooty Lake, Doddabetta Peak, Nilgiri Train"
Mahabalipuram,Culture,12000,Oct-Mar,"Shore Temple, Five Rathas, Arjuna's Penance, Beach"
Rishikonda Beach,Beach,10000,Oct-Mar,"Swimming, Sunbathing, Water Sports, Local Food"
Puri,Beach,12000,Oct-Mar,"Jagannath Temple, Puri Beach, Konark Sun Temple, Local Market"
Chennai,Food,12000,Oct-Mar,"Marina Beach, Kapaleeshwarar Temple, Street Food, Museums"
Lucknow,Food,10000,Oct-Mar,"Tunday Kababi, Bara Imambara, Rumi Darwaza, Street Food"
Rameshwaram,Beach,15000,Oct-Mar,"Ramanathaswamy Temple, Dhanushkodi, Beaches, Pilgrimage"
Khajuraho,Culture,14000,Oct-Mar,"Temples, Light & Sound Show, Cenotaphs, Local Culture"
Gokarna,Beach,12000,Oct-Mar,"Om Beach, Kudle Beach, Paradise Beach, Trekking"
Jodhpur,Culture,14000,Oct-Mar,"Mehrangarh Fort, Umaid Bhawan, Jaswant Thada, Local Markets"
Bhubaneswar,Culture,10000,Oct-Mar,"Lingaraj Temple, Mukteshwar Temple, Udayagiri, Local Cuisine"
Mount Abu,Adventure,16000,Oct-Mar,"Nakki Lake, Dilwara Temples, Sunset Point, Trekking"
Shillong,Adventure,15000,Apr-Jun,"Elephant Falls, Shillong Peak, Local Markets, Trekking"
Kaziranga,Adventure,20000,Nov-Apr,"Wildlife Safari, Bird Watching, Elephant Ride, Nature Walks"
Munnar,Adventure,18000,Oct-Mar,"Tea Plantations, Mattupetty Dam, Eravikulam, Trekking"
Alleppey,Beach,20000,Oct-Mar,"Houseboat, Backwaters, Beaches, Local Markets"
Darjeeling,Adventure,15000,Mar-May,"Tea Gardens, Tiger Hill, Toy Train, Monastery"
Gangtok,Culture,16000,Apr-Jun,"Rumtek Monastery, Tsomgo Lake, MG Marg, Ropeway"
Kanyakumari,Culture,14000,Oct-Mar,"Vivekananda Rock, Sunset View, Thiruvalluvar Statue, Temple Visit"
Mahabaleshwar,Adventure,15000,Oct-Mar,"Venna Lake, Pratapgarh Fort, Strawberry Farms, Elephant's Head Point"
Sundarbans,Adventure,18000,Oct-Mar,"Mangrove Safari, Wildlife Spotting, Boat Rides, Bird Watching"
Ranthambore,Adventure,20000,Oct-Mar,"Tiger Safari, Ranthambore Fort, Wildlife Photography, Nature Walks"
Ajmer,Culture,12000,Oct-Mar,"Ajmer Sharif Dargah, Ana Sagar Lake, Local Markets, Pushkar Visit"
Varanasi,Culture,12000,Oct-Mar,"Ganga Aarti, Kashi Vishwanath, Sarnath, Boat Ride"
Mysore,Culture,10000,Oct-Mar,"Mysore Palace, Chamundi Hill, Brindavan Gardens, Zoo"
